modelo,RMSE,MAE,MAPE,sMAPE,AIC,Ljung_Box_p_10,ranking_RMSE
"ARIMA(3,0,0)",35.987703471276625,29.243176577183313,10.797440256694607,10.233800833243809,2444.2932682142446,0.5288472575113465,1
Ingenuo último valor,38.9323295373086,33.40233799972915,11.506397595907906,11.712154446251143,,1.509980396859644e-05,2
"ARIMA(1,0,0)",39.09576500542125,29.485286746771926,11.350495861295343,10.326044346935653,2492.593491195079,0.2262684658919789,3
"ARIMA(1,1,0)",39.52352298923413,34.006198637179324,11.65620062500336,11.930348652753423,2487.540576525719,0.26645173595083377,4
Drift,39.913272880730524,34.09156029130784,11.64996391285741,11.960506676789446,,1.5099803968596384e-05,5
"ARIMA(2,1,0)",40.62871040501629,35.00103832368477,11.901720543493626,12.292102818775689,2447.511549568868,0.850466690413227,6
"ARIMA(0,1,1)",41.89106393958509,36.10979950269058,12.194431610234266,12.699117731669418,2455.432135972691,0.8037994627605325,7
SES,41.93101695629554,36.14538817484679,12.203962056180062,12.712242255342455,1748.3699225995254,0.07677534696188014,8
Holt amortiguado,42.35076313715557,36.458916789219884,12.283104160023665,12.827834663116388,1754.3602087205782,0.0778854418658426,9
"ARIMA(0,1,2)",45.27545486151118,38.92280981450115,12.9666322212315,13.747071785055953,2435.017095396889,0.974002969897172,10
ETS aditivo 52,50.223479761752614,39.01077994711534,12.926194561271295,13.871540707221705,1789.780766800887,0.2271113233511915,11
Ingenuo estacional 52,60.39356566150133,50.49851490864891,17.49451855635899,16.98197719478658,,6.1366436047787374e-229,12
